DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/02/15 17:30:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,4.65,0.0,-15.68941,-47.43019,6.6
2024/02/24 16:22:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.36,-999.0,-15.80474,-47.95552,6.9
2024/02/24 16:22:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.3,0.01,-15.68886,-47.65234,3.6
2024/02/25 03:57:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,1,0.0,0.06,-15.57008,-47.85641,1.5
2024/02/25 04:48:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,1,0.0,-999.0,-15.56836,-47.85663,1.0
2024/02/26 04:27:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.56955,-47.85425,1.9
2024/02/26 17:17:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.03,-15.61269,-47.90208,5.5
2024/02/26 17:17:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.04,-15.61135,-47.89241,5.5
2024/02/26 17:02:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.62042,-47.89491,8.1
2024/02/26 04:53:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.09,-15.57074,-47.85385,2.3
2024/02/26 04:53:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.56833,-47.8567,2.2
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.04,-15.6932,-47.42714,3.5
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.04,-15.6902,-47.42835,1.8
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.0,0.02,-15.58722,-48.00994,28.4
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.0,0.02,-15.58625,-48.00532,46.9
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.0,0.05,-15.58125,-48.01151,23.4
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.0,0.05,-15.58029,-48.00692,30.7
2024/02/28 04:42:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.91638,-47.75669,1.3
2024/02/28 04:42:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.91574,-47.76126,1.3
2024/02/28 04:42:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.5685,-47.85733,1.9
2024/02/28 03:51:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.91562,-47.75783,0.9
2024/02/28 03:51:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,-999.0,-15.91498,-47.76103,0.9
2024/02/28 17:13:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.73226,-47.9782,7.9
2024/02/28 17:13:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.72781,-47.9791,7.9
2024/02/28 17:13:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.72696,-47.97451,7.9
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.16,-15.9179,-47.93808,4.3
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.73877,-47.98118,1.9
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.73452,-47.98171,6.6
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.04,-15.72975,-47.97822,17.9
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.72498,-47.97473,6.8
2024/02/28 16:24:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.04,-15.72446,-47.97069,6.4
2024/02/29 04:23:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.03,-15.95917,-47.76677,0.4
2024/02/29 04:23:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,-999.0,-15.56856,-47.85453,1.6
2024/02/29 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,6,0.0,0.13,-15.92484,-47.52861,3.3
2024/02/29 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,6,0.0,0.1,-15.92418,-47.52463,2.5
2024/02/29 16:56:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.06,-15.58448,-48.00985,3.0
2024/02/29 16:56:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.19,-15.57016,-47.85608,3.2
2024/03/02 04:33:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,37.79,-999.0,-15.56811,-47.85435,1.4
2024/03/08 16:05:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65632,-47.87956,4.7
2024/03/08 16:05:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65052,-47.88033,4.7
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.67222,-47.87856,12.7
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66953,-47.87978,18.1
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66891,-47.8759,18.1
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.6688,-47.87916,12.7
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66816,-47.87529,12.7
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66671,-47.88421,3.4
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66548,-47.87651,18.1
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66267,-47.88095,14.4
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66205,-47.8771,14.4
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.06,-15.66143,-47.87325,16.5
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.65862,-47.87767,14.4
2024/03/08 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.07,-15.658,-47.87383,16.5
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.6668,-47.88224,13.6
2024/03/08 17:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,0.05,-15.66615,-47.88304,12.3
